?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
088,0200,088,0000,000,0000,000,0000,0000,004,0100
088,0200,089,0200,088,0200,000,0088,0000,004,0100
089,EE1A,08A,EE1A,0A4,0000,000,001A,0000,004,0100,0A4,0000
08A,AE17,08B,AE17,0A2,FEA6,000,0017,FEA6,008,1000
08B,0700,08C,0700,08B,0700,000,008B,FEA7,008,1000
08C,0C00,08D,0C00,7FF,FEA7,7FF,008C,FEA7,008,1000,7FF,FEA7
08D,D6FB,6FB,D6FB,7FE,008E,7FE,D6FB,FEA7,008,1000,7FE,008E
6FB,AC01,6FC,AC01,7FF,FEA7,7FE,0001,FEA7,008,1000
6FC,F205,702,F205,6FC,F205,7FE,0005,FEA7,008,1000
702,AE02,703,AE02,705,01D5,7FE,0002,01D5,000,0000
703,EC01,704,EC01,7FF,01D5,7FE,0001,01D5,000,0000,7FF,01D5
704,0A00,08E,0A00,7FE,008E,7FF,0704,01D5,000,0000
08E,0800,08F,0800,7FF,01D5,000,008E,01D5,000,0000
08F,0700,090,0700,08F,0700,000,008F,01D6,000,0000
090,4E13,091,4E13,0A4,0000,000,0013,01D6,000,0000
091,EE12,092,EE12,0A4,01D6,000,0012,01D6,000,0000,0A4,01D6
092,AE0E,093,AE0E,0A1,0116,000,000E,0116,000,0000
093,0C00,094,0C00,7FF,0116,7FF,0093,0116,000,0000,7FF,0116
094,D6FB,6FB,D6FB,7FE,0095,7FE,D6FB,0116,000,0000,7FE,0095
6FB,AC01,6FC,AC01,7FF,0116,7FE,0001,0116,000,0000
6FC,F205,6FD,F205,6FC,F205,7FE,06FC,0116,000,0000
6FD,7E07,6FE,7E07,705,01D5,7FE,0007,0116,008,1000
6FE,F903,6FF,F903,6FE,F903,7FE,06FE,0116,008,1000
6FF,4C01,700,4C01,7FF,0116,7FE,0001,022C,000,0000
700,4E05,701,4E05,706,00DB,7FE,0005,0307,000,0000
701,CE01,703,CE01,701,0703,7FE,0001,0307,000,0000
703,EC01,704,EC01,7FF,0307,7FE,0001,0307,000,0000,7FF,0307
704,0A00,095,0A00,7FE,0095,7FF,0704,0307,000,0000
095,0800,096,0800,7FF,0307,000,0095,0307,000,0000
096,6E0D,097,6E0D,0A4,01D6,000,000D,0131,001,0001
097,EE0C,098,EE0C,0A4,0131,000,000C,0131,001,0001,0A4,0131
098,AE0A,099,AE0A,0A3,5BB3,000,000A,5BB3,001,0001
099,0700,09A,0700,099,0700,000,0099,5BB4,000,0000
09A,0C00,09B,0C00,7FF,5BB4,7FF,009A,5BB4,000,0000,7FF,5BB4
09B,D6FB,6FB,D6FB,7FE,009C,7FE,D6FB,5BB4,000,0000,7FE,009C
6FB,AC01,6FC,AC01,7FF,5BB4,7FE,0001,5BB4,000,0000
6FC,F205,6FD,F205,6FC,F205,7FE,06FC,5BB4,000,0000
6FD,7E07,6FE,7E07,705,01D5,7FE,0007,5BB4,001,0001
6FE,F903,702,F903,6FE,F903,7FE,0003,5BB4,001,0001
702,AE02,703,AE02,705,01D5,7FE,0002,01D5,001,0001
703,EC01,704,EC01,7FF,01D5,7FE,0001,01D5,001,0001,7FF,01D5
704,0A00,09C,0A00,7FE,009C,7FF,0704,01D5,001,0001
09C,0800,09D,0800,7FF,01D5,000,009C,01D5,001,0001
09D,0740,09E,0740,09D,0740,000,009D,01D4,001,0001
09E,4E05,09F,4E05,0A4,0131,000,0005,0305,000,0000
09F,EE04,0A0,EE04,0A4,0305,000,0004,0305,000,0000,0A4,0305
0A0,0100,0A1,0100,0A0,0100,000,00A0,0305,000,0000
