?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
1C2,FF00,1C2,0000,000,0000,000,0000,0000,004,0100
1C2,FF00,1C3,FF00,1C2,FF00,000,01C2,0000,004,0100
1C3,00FF,1C4,00FF,1C3,00FF,000,01C3,0000,004,0100
1C4,0556,1C5,0556,1C4,0000,000,01C4,0000,004,0100
1C5,0200,1C6,0200,1C5,0200,000,01C5,0000,004,0100
1C6,D1D6,1D6,D1D6,7FF,01C7,7FF,D1D6,0000,004,0100,7FF,01C7
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
1D6,1203,1D7,1203,1D6,1203,7FF,01D6,0000,004,0100
1D7,2F40,1D8,2F40,1D7,0040,7FF,0040,0000,004,0100
1D8,F0FD,1D6,F0FD,1D8,F0FD,7FF,FFFD,0000,004,0100
