?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
2EF,0305,2EF,0000,000,0000,000,0000,0000,004,0100
2EF,0305,2F0,0305,2EF,0305,000,02EF,0000,004,0100
2F0,0200,2F1,0200,2F0,0200,000,02F0,0000,004,0100
2F1,4000,2F2,4000,000,0000,000,02F1,0000,004,0100
2F2,E000,2F3,E000,000,0000,000,02F2,0000,004,0100
2F3,0200,2F4,0200,2F3,0200,000,02F3,0000,004,0100
2F4,EEFD,2F5,EEFD,2F2,0000,000,FFFD,0000,004,0100,2F2,0000
2F5,AF05,2F6,AF05,2F5,0005,000,0005,0005,000,0000
2F6,EEFA,2F7,EEFA,2F1,0005,000,FFFA,0005,000,0000,2F1,0005
2F7,4EF7,2F8,4EF7,2EF,0305,000,FFF7,030A,000,0000
2F8,EEF7,2F9,EEF7,2F0,030A,000,FFF7,030A,000,0000,2F0,030A
2F9,ABF6,2FA,ABF6,309,044F,000,FFF6,044F,000,0000,2F0,0309
2FA,F302,2FD,F302,2FA,F302,000,0002,044F,000,0000
2FD,0200,2FE,0200,2FD,0200,000,02FD,0000,004,0100
2FE,0280,2FF,0280,2FE,0280,000,02FE,FFFF,008,1000
2FF,2EF2,300,2EF2,2F2,0000,000,FFF2,0000,004,0100
300,0400,301,0400,300,0400,000,0300,0000,004,0100
301,EEF0,302,EEF0,2F2,0000,000,FFF0,0000,004,0100,2F2,0000
302,8EEE,303,8EEE,2F1,0004,000,0003,0000,004,0100,2F1,0004
303,C2F9,2F9,C2F9,303,C2F9,000,0303,0000,004,0100
2F9,ABF6,2FA,ABF6,308,0484,000,FFF6,0484,000,0000,2F0,0308
2FA,F302,2FD,F302,2FA,F302,000,0002,0484,000,0000
2FD,0200,2FE,0200,2FD,0200,000,02FD,0000,004,0100
2FE,0280,2FF,0280,2FE,0280,000,02FE,FFFF,008,1000
2FF,2EF2,300,2EF2,2F2,0000,000,FFF2,0000,004,0100
300,0400,301,0400,300,0400,000,0300,0000,004,0100
301,EEF0,302,EEF0,2F2,0000,000,FFF0,0000,004,0100,2F2,0000
302,8EEE,303,8EEE,2F1,0003,000,0002,0000,004,0100,2F1,0003
303,C2F9,2F9,C2F9,303,C2F9,000,0303,0000,004,0100
2F9,ABF6,2FA,ABF6,307,04A8,000,FFF6,04A8,000,0000,2F0,0307
2FA,F302,2FD,F302,2FA,F302,000,0002,04A8,000,0000
2FD,0200,2FE,0200,2FD,0200,000,02FD,0000,004,0100
2FE,0280,2FF,0280,2FE,0280,000,02FE,FFFF,008,1000
2FF,2EF2,300,2EF2,2F2,0000,000,FFF2,0000,004,0100
300,0400,301,0400,300,0400,000,0300,0000,004,0100
301,EEF0,302,EEF0,2F2,0000,000,FFF0,0000,004,0100,2F2,0000
302,8EEE,303,8EEE,2F1,0002,000,0001,0000,004,0100,2F1,0002
303,C2F9,2F9,C2F9,303,C2F9,000,0303,0000,004,0100
2F9,ABF6,2FA,ABF6,306,041A,000,FFF6,041A,000,0000,2F0,0306
2FA,F302,2FD,F302,2FA,F302,000,0002,041A,000,0000
2FD,0200,2FE,0200,2FD,0200,000,02FD,0000,004,0100
2FE,0280,2FF,0280,2FE,0280,000,02FE,FFFF,008,1000
2FF,2EF2,300,2EF2,2F2,0000,000,FFF2,0000,004,0100
300,0400,301,0400,300,0400,000,0300,0000,004,0100
301,EEF0,302,EEF0,2F2,0000,000,FFF0,0000,004,0100,2F2,0000
302,8EEE,303,8EEE,2F1,0001,000,0000,0000,004,0100,2F1,0001
303,C2F9,2F9,C2F9,303,C2F9,000,0303,0000,004,0100
2F9,ABF6,2FA,ABF6,305,0D00,000,FFF6,0D00,000,0000,2F0,0305
2FA,F302,2FD,F302,2FA,F302,000,0002,0D00,000,0000
2FD,0200,2FE,0200,2FD,0200,000,02FD,0000,004,0100
2FE,0280,2FF,0280,2FE,0280,000,02FE,FFFF,008,1000
2FF,2EF2,300,2EF2,2F2,0000,000,FFF2,0000,004,0100
300,0400,301,0400,300,0400,000,0300,0000,004,0100
301,EEF0,302,EEF0,2F2,0000,000,FFF0,0000,004,0100,2F2,0000
302,8EEE,304,8EEE,2F1,0000,000,FFFF,0000,004,0100,2F1,0000
304,0100,305,0100,304,0100,000,0304,0000,004,0100
